city;district;population
Adana;Seyhan;795012
Adana;Yüreğir;404726
Adana;Çukurova;389175
Adana;Sarıçam;221733
Adana;Ceyhan;158922
Adana;Kozan;132703
Adana;İmamoğlu;27037
Adana;Karataş;23499
Adana;Karaisalı;22042
Adana;Pozantı;19852
Adana;Yumurtalık;17654
Adana;Tufanbeyli;16400
Adana;Aladağ;15897
Adana;Feke;15833
Adana;Saimbeyli;13621
Adıyaman;Merkez;316140
Adıyaman;Kahta;128961
Adıyaman;Besni;77180
Adıyaman;Gölbaşı;50324
Adıyaman;Sincik;15947
Adıyaman;Gerger;15711
Adıyaman;Çelikhan;14858
Adıyaman;Tut;9375
Adıyaman;Samsat;6673
Afyonkarahisar;Merkez;324996
Afyonkarahisar;Sandıklı;55198
Afyonkarahisar;Dinar;47385
Afyonkarahisar;Bolvadin;45960
Afyonkarahisar;Emirdağ;43305
Afyonkarahisar;Sinanpaşa;37991
Afyonkarahisar;Şuhut;35973
Afyonkarahisar;Çay;30351
Afyonkarahisar;İhsaniye;27038
Afyonkarahisar;İscehisar;24889
Afyonkarahisar;Sultandağı;14037
Afyonkarahisar;Çobanlar;14034
Afyonkarahisar;Dazkırı;11432
Afyonkarahisar;Başmakçı;9353
Afyonkarahisar;Hocalar;8743
Afyonkarahisar;Bayat;7679
Afyonkarahisar;Evciler;7095
Afyonkarahisar;Kızılören;2096
Ağrı;Merkez;148765
Ağrı;Doğubayazıt;116493
Ağrı;Patnos;114081
Ağrı;Diyadin;38369
Ağrı;Eleşkirt;30288
Ağrı;Tutak;27864
Ağrı;Taşlıçay;18614
Ağrı;Hamur;16152
Amasya;Merkez;149592
Amasya;Merzifon;75346
Amasya;Suluova;47038
Amasya;Taşova;30144
Amasya;Gümüşhacıköy;22746
Amasya;Göynücek;9906
Amasya;Hamamözü;3495
Ankara;Çankaya;942553
Ankara;Keçiören;939279
Ankara;Yenimahalle;704652
Ankara;Mamak;687535
Ankara;Etimesgut;614891
Ankara;Sincan;572609
Ankara;Altındağ;413994
Ankara;Pursaklar;162389
Ankara;Gölbaşı;150047
Ankara;Polatlı;128378
Ankara;Çubuk;95449
Ankara;Kahramankazan;59123
Ankara;Beypazarı;48357
Ankara;Elmadağ;44379
Ankara;Akyurt;40625
Ankara;Şereflikoçhisar;33140
Ankara;Kızılcahamam;26872
Ankara;Nallıhan;26553
Ankara;Haymana;26016
Ankara;Bala;20521
Ankara;Ayaş;12998
Ankara;Kalecik;12794
Ankara;Çamlıdere;8100
Ankara;Güdül;8079
Ankara;Evren;2952
Antalya;Kepez;608675
Antalya;Muratpaşa;526293
Antalya;Alanya;364180
Antalya;Manavgat;252941
Antalya;Konyaaltı;204795
Antalya;Serik;139545
Antalya;Döşemealtı;79495
Antalya;Aksu;77623
Antalya;Kumluca;73496
Antalya;Kaş;62866
Antalya;Korkuteli;56285
Antalya;Gazipaşa;53702
Antalya;Finike;49720
Antalya;Kemer;49383
Antalya;Elmalı;40774
Antalya;Demre;27691
Antalya;Akseki;10477
Antalya;Gündoğmuş;7188
Antalya;İbradı;2875
Artvin;Merkez;36133
Artvin;Hopa;28231
Artvin;Borçka;21748
Artvin;Arhavi;21520
Artvin;Yusufeli;18854
Artvin;Şavşat;16564
Artvin;Ardanuç;11074
Artvin;Kemalpaşa;8954
Artvin;Murgul;6325
Aydın;Efeler;303772
Aydın;Nazilli;162737
Aydın;Kuşadası;130835
Aydın;Söke;123301
Aydın;Didim;97000
Aydın;İncirliova;55848
Aydın;Çine;48466
Aydın;Germencik;44172
Aydın;Bozdoğan;32607
Aydın;Köşk;28235
Aydın;Kuyucak;26111
Aydın;Koçarlı;21832
Aydın;Sultanhisar;20230
Aydın;Karacasu;17620
Aydın;Buharkent;13022
Aydın;Yenipazar;11863
Aydın;Karpuzlu;10590
Balıkesir;Karesi;187362
Balıkesir;Altıeylül;183736
Balıkesir;Edremit;167901
Balıkesir;Bandırma;164965
Balıkesir;Gönen;74871
Balıkesir;Ayvalık;74030
Balıkesir;Burhaniye;64283
Balıkesir;Bigadiç;48917
Balıkesir;Susurluk;37724
Balıkesir;Dursunbey;33333
Balıkesir;Sındırgı;32408
Balıkesir;Erdek;31902
Balıkesir;İvrindi;31512
Balıkesir;Havran;28058
Balıkesir;Kepsut;21825
Balıkesir;Manyas;18066
